,created,lat,lon,x,y,epa_pm25_value,ndvi,wind_x,wind_y,elevation,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,neighbor_10,neighbor_11,neighbor_12,neighbor_13,neighbor_14,neighbor_15,neighbor_16,neighbor_17,neighbor_18,neighbor_19,neighbor_20,neighbor_21,neighbor_22,neighbor_23,temperature,humidity
81,201909010000,37.91662274752184,-122.53024763536915,1,60,5.1,7510,1.2155372436685097,-6.893654271085457,99,,,3.48,,,5.42,,2.56,,3.88,,0.89,,2.62,8.84,,3.14,3.72,1.95,,1.04,1.45,,,88.0,40.0
82,201909010000,37.9201660930125,-122.53024763536915,1,61,5.1,7233,1.2155372436685097,-6.893654271085457,90,,3.48,,,,2.56,5.42,,,3.88,0.89,,,2.62,,8.84,3.14,3.72,1.95,,1.04,1.45,,,88.0,40.0
83,201909010000,37.923709267798415,-122.53024763536915,1,62,5.1,7233,1.2155372436685097,-6.893654271085457,44,3.48,,,,,2.56,5.42,,3.88,,,0.89,,2.62,8.84,,3.14,1.95,1.04,3.72,,,1.45,,88.0,40.0
84,201909010000,37.927252271874316,-122.53024763536915,1,63,5.1,6779,1.2155372436685097,-6.893654271085457,23,,,3.48,2.56,,,5.42,,3.88,,,0.89,2.62,8.84,,,1.04,1.95,3.14,3.72,,,1.45,,88.0,40.0
85,201909010000,37.93079510523484,-122.53024763536915,1,64,5.1,6296,1.2155372436685097,-6.893654271085457,23,,,2.56,3.48,,,5.42,,3.88,,,0.89,2.62,8.84,,1.04,,1.95,3.14,,3.72,,1.45,,97.0,31.0
86,201909010000,37.934337767874666,-122.53024763536915,1,65,5.1,6296,1.2155372436685097,-6.893654271085457,7,2.56,,,3.48,,,5.42,3.88,,,,0.89,1.04,2.62,8.84,,,1.95,3.14,,,3.72,1.45,,97.0,31.0
87,201909010000,37.93788025978849,-122.53024763536915,1,66,5.1,5062,1.2155372436685097,-6.893654271085457,3,2.56,,,3.48,,,3.88,5.42,,1.04,,,0.89,2.62,8.84,,,1.95,,3.14,,3.72,,1.45,97.0,31.0
88,201909010000,37.941422580971,-122.53024763536915,1,67,5.1,3988,1.2155372436685097,-6.893654271085457,1,2.56,,,3.48,,,1.04,3.88,5.42,,,,0.89,2.62,8.84,,,,1.95,,3.14,3.72,,1.45,97.0,31.0
89,201909010000,37.944964731416896,-122.53024763536915,1,68,5.1,3988,-4.0,4.898587196589413e-16,6,2.56,,,3.48,,,1.04,3.88,,5.42,,,0.89,,2.62,8.84,,1.95,,,3.14,3.72,,1.45,97.0,31.0
90,201909010000,37.94850671112083,-122.53024763536915,1,69,5.1,5730,-4.0,4.898587196589413e-16,43,2.56,,,3.48,1.04,,,,3.88,5.42,,,,0.89,2.62,8.84,,1.95,,,3.14,3.72,,1.45,97.0,31.0
91,201909010000,37.952048520077525,-122.53024763536915,1,70,5.1,5730,-4.0,4.898587196589413e-16,74,2.56,1.04,,,3.48,,,,,3.88,5.42,,0.89,,2.62,8.84,,1.95,,,3.14,3.72,,1.45,94.5,33.0
92,201909010000,37.95559015828168,-122.53024763536915,1,71,5.1,6582,-4.0,4.898587196589413e-16,64,1.04,2.56,,,3.48,,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
93,201909010000,37.959131625728,-122.53024763536915,1,72,5.1,6873,-4.0,4.898587196589413e-16,110,1.04,2.56,,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
94,201909010000,37.96267292241117,-122.53024763536915,1,73,5.1,6873,-4.0,4.898587196589413e-16,40,1.04,2.56,,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
95,201909010000,37.966214048325895,-122.53024763536915,1,74,5.1,6419,-4.0,4.898587196589413e-16,33,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
96,201909010000,37.96975500346692,-122.53024763536915,1,75,5.1,5009,-4.0,4.898587196589413e-16,3,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
97,201909010000,37.97329578782893,-122.53024763536915,1,76,5.1,5009,-4.0,4.898587196589413e-16,10,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
98,201909010000,37.976836401406615,-122.53024763536915,1,77,5.1,6652,-4.0,4.898587196589413e-16,53,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,,2.81,94.5,33.0
99,201909010000,37.98037684419474,-122.53024763536915,1,78,5.1,6416,-4.0,4.898587196589413e-16,142,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,,2.81,94.5,33.0
100,201909010000,37.983917116188,-122.53024763536915,1,79,5.1,6416,-4.0,4.898587196589413e-16,166,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,,2.81,94.5,33.0
101,201909010000,37.98745721738111,-122.53024763536915,1,80,5.1,6775,-4.0,4.898587196589413e-16,128,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,2.81,,94.5,33.0
102,201909010000,37.99099714776885,-122.53024763536915,1,81,5.1,3896,-4.0,4.898587196589413e-16,41,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,1.95,,,,,3.14,3.72,2.81,,94.5,33.0
103,201909010000,37.99453690734586,-122.53024763536915,1,82,5.1,3896,-4.0,4.898587196589413e-16,30,,1.04,2.56,,,3.48,,,,3.88,5.42,0.89,,2.62,8.84,1.95,,,,,3.14,3.72,2.81,,94.5,33.0
104,201909010000,37.99807649610694,-122.53024763536915,1,83,5.1,3411,-4.0,4.898587196589413e-16,26,,1.04,2.56,,,3.48,,,,3.88,5.42,0.89,,2.62,8.84,1.95,,,,,3.14,3.72,2.81,,94.5,33.0
